icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
3485195	3485195	MRPL43	84545	ENSG00000055950
5057314	3130413	MRPL44	65080	ENSG00000135900
960153	2214569	MRPL45	84311	ENSG00000278845
810501	5087665	MRPL46	26589	ENSG00000259494
5267298	3485195	MRPL47	57129	ENSG00000136522
4833189	2186087	MRPL48	51642	ENSG00000175581
3928010	2186087	MRPL49	740	ENSG00000149792
3738120	1848068	MRPL50	54534	ENSG00000136897
2577129	269033	MRPL51	51258	ENSG00000111639
502421	5060311	MRPL52	122704	ENSG00000172590
54771	1248877	MRPL53	116540	ENSG00000204822
555348	813953	MRPL54	116541	ENSG00000183617
5151026	5151026	MRPL55	128308	ENSG00000162910
3855234	5162718	MRPL57	78988	ENSG00000173141
2533655	4153798	MRPL9	65005	ENSG00000143436
1512828	2810291	MRPS10	55173	ENSG00000048544
1137622	4467198	MRPS11	64963	ENSG00000181991
1868584	4972844	MRPS12	6183	ENSG00000128626
2459568	3062679	MRPS14	63931	ENSG00000120333
1314676	2674477	MRPS15	64960	ENSG00000116898
2533894	4761161	MRPS16	51021	ENSG00000182180
4343403	5029749	MRPS17	51373	ENSG00000239789
3774579	2186087	MRPS18A	55168	ENSG00000096080
1549147	2068280	MRPS18B	28973	ENSG00000223775
4687193	2068280	MRPS18C	51023	ENSG00000163319
4222451	2186087	MRPS2	51116	ENSG00000122140
1382608	1943427	MRPS21	54460	ENSG00000266472
4136524	384510	MRPS22	56945	ENSG00000175110
698142	2677230	MRPS23	51649	ENSG00000181610
3361451	3527371	MRPS24	64951	ENSG00000062582
1606718	3527371	MRPS25	64432	ENSG00000131368
5277127	5278338	MRPS26	64949	ENSG00000125901
3853562	4916492	MRPS27	23107	ENSG00000113048
1678537	3541090	MRPS28	28957	ENSG00000147586
1149729	3409898	MRPS30	10884	ENSG00000112996
2861338	998479	MRPS31	10240	ENSG00000102738
2893801	2893801	MRPS33	51650	ENSG00000090263
4428891	384510	MRPS34	65993	ENSG00000074071
2833662	2999614	MRPS35	60488	ENSG00000061794
795345	2768838	MRPS36	92259	ENSG00000278461
2810291	5144477	MRPS5	64969	ENSG00000144029
3071270	232605	MRPS6	64968	ENSG00000243927
2274245	3409898	MRPS7	51081	ENSG00000125445
4889149	11791409	MRPS9	64965	ENSG00000135972
1244832	805240	MRRF	92399	ENSG00000148187
49077614	49077614	MRS2	57380	ENSG00000124532
2922510	1598835	MRTO4	51154	ENSG00000053372
5349967	84278619	MRVI1	10335	ENSG00000072952
1092973	4038294	MS4A1	931	ENSG00000156738
742485	3019261	MS4A2	2206	ENSG00000149534
4415484	5081339	MS4A3	932	ENSG00000149516
3420442	2450911	MS4A5	64232	ENSG00000166930
1748358	3824931	MS4A7	58475	ENSG00000166927
5199862	1225201	MSANTD2	79684	ENSG00000120458
2587766	2068280	MSANTD3	91283	ENSG00000066697
29374829	4691983	MSANTD4	84437	ENSG00000170903
1183633	1810929	MSC	9242	ENSG00000178860
813561	2068280	MSH2	4436	ENSG00000095002
5821181	3277723	MSH3	4437	ENSG00000113318
1746366	4465042	MSH4	4438	ENSG00000057468
527525	1746366	MSH5	4439	ENSG00000235569
5066750	4280011	MSH6	2956	ENSG00000116062
498537	2068280	MSI1	4440	ENSG00000135097
149932	4056103	MSI2	124540	ENSG00000153944
4023131	5317357	MSL1	339287	ENSG00000188895
2725743	4303895	MSL2	55167	ENSG00000174579
4458883	2186087	MSL3	10943	ENSG00000005302
1117410	3315027	MSLN	10232	ENSG00000102854
5070489	2186087	MSMB	4477	ENSG00000263639
4633995	4783914	MSMO1	6307	ENSG00000052802
4949991	678947	MSN	4478	ENSG00000147065
531913	3202052	MSR1	4481	ENSG00000038945
1487396	2068280	MSRA	4482	ENSG00000175806
